,UID,Project Name,Twitter,Logo URL,DAO Friends,DAO Followers
0,6135982,1729,oneseventwonine,http://pbs.twimg.com/profile_images/1375067996285063169/aV6PZdFa_normal.jpg,,"Ants-review, Artizen, Nader Dabit"
1,1370576489909993472,_slow_crypto - Fabrics of Reality,_slow_crypto,http://pbs.twimg.com/profile_images/1491209412874285061/bAuU-d5Q_normal.jpg,"Surge, 1Hive, Dream DAO, SuperBenefit, Leyline, DoinGud, Outlier Ventures",
2,1475869555826253828,0xdaoApe,0xdaoape,http://pbs.twimg.com/profile_images/1475869715058900994/7aKGFe00_normal.jpg,"1Hive, TEC, The Commons Stack, GitcoinDAO, The DAOist, Gitcoin, Giveth, 1Hive Gardens","Giveth, TEC"
3,996552749893304320,1Hive,1hiveorg,http://pbs.twimg.com/profile_images/1276286557494837248/SgXEhvrc_normal.png,"Curve Labs, The Commons Stack, GitcoinDAO, The DAOist, 1Hive Gardens","_slow_crypto - Fabrics of Reality, 0xdaoApe, 1Hive Gardens, Citizen DAO, Curve Labs, DeveloperDAO, Geo Web, Gitcoin, Giveth, ixo, Kolektivo, Longtail Financial, Panvala, PrimeDAO, Protein Community, Solid World DAO, TEC, The Commons Stack, The DAOist"
4,1421237328719360010,1Hive Gardens,gardensdao,http://pbs.twimg.com/profile_images/1479201973362577408/QreY0Mgx_normal.png,"TEC, Giveth, 1Hive","0xdaoApe, 1Hive, Citizen DAO, Giveth, Longtail Financial, Opscientia.eth, Pozzle Planet, Protein Community, Solid World DAO, TEC, The DAOist, The Eden Dao"
5,1352737184076476417,Acerola Fund,acerolafund,http://pbs.twimg.com/profile_images/1353749069131296781/XKissMx__normal.jpg,,
6,1403870329366355969,AcreDAOS,acredaos,http://pbs.twimg.com/profile_images/1461360204755308552/pM4Wpc8G_normal.jpg,"Toucan, Return Protocol, The Eden Dao, Blockchain for Climate foundation, Rainforest Direct, Giveth, All for Climate, Regen Network, DOER Money DAO, Open Forest Protocol, DoinGud, Impact, Public Land Protocol, Giving Block, VitaDAO, KlimaDAO, AYOWECCA, Endaoment","All for Climate, AntidoteDAO, Avano, Basin DAO, Carbon Captors , Citizen DAO, ClimateDAO , Cohere, DOER Money DAO, EarthFund, Ecorise, Endaoment, ixo, LOA Labs, Public Land Protocol, ReFi DAO, Regen Network, Return Protocol, Shamba, Solid World DAO, The Eden Dao, Treejer Protocol"
7,1460801607940116486,All for Climate,all4climatedao,http://pbs.twimg.com/profile_images/1461336359734554627/Zd05zz8c_normal.jpg,"Curve Labs, Future Foundation, ixo, Gaia, Return Protocol, ReFi DAO, Ecorise, Citizen DAO, Open Forest Protocol, Diatom DAO, ClimateDAO , Ecodao, Public Land Protocol, Kolektivo, Earthcoin, AcreDAOS, The Eden Dao, KlimaDAO, GitcoinDAO, DeveloperDAO, AYOWECCA, Giveth, Regen Network, Toucan, Blockchain for Climate foundation, Dream DAO","AcreDAOS, AntidoteDAO, Avano, Basin DAO, Bloomeria, Carbon Captors , Cherubs DAO, Citizen DAO, Climate Finance DAO, DeveloperDAO, EarthFund, Ecorise, Gitcoin, ixo, Longtail Financial, MOONJELLY, Protein Community, Public Land Protocol, ReFi DAO, Return Protocol, Solid World DAO, The Eden Dao, Treejer Protocol"
8,909513498652225538,Alliance DAO,alliancedao,http://pbs.twimg.com/profile_images/1481470059084062720/EudspJXo_normal.png,"Celo, impactMarket, Coinbase Earn","Celo, ClimateDAO , Grow Your Own Cloud, impactMarket, Longtail Financial, PrimeDAO, Project Galaxy"
9,1384732309123829761,Angel Protocol,angelprotocol,http://pbs.twimg.com/profile_images/1385343617225560068/Z0nRwp37_normal.jpg,Future Foundation,"AntidoteDAO, Citizen DAO, Future Foundation, Impact, ixo, Leyline, Protein Community, Public Land Protocol, Solid World DAO"
10,1486470137381371904,AntidoteDAO,antidotedao,http://pbs.twimg.com/profile_images/1500567831049498626/JwHeU4qz_normal.jpg,"Decrypt, Give Safely, Decent DAO, Future Foundation, Dream DAO, Angel Protocol, Citizen DAO, LabDAO, dClimate, HumanDAO, Seed Club, Popcorn, PrimeDAO, Open Forest Protocol, Return Protocol, Avano, AcreDAOS, PsyDAO, Meta Gamma Delta DAO , Carbon Captors , Public Land Protocol, The Eden Dao, KlimaDAO, DeveloperDAO, Basin DAO, Solid World DAO, All for Climate, CoinTelegraph, EarthFund, Diatom DAO, Coinmarketcap Earn, Regen Network, Giving Block, ClimateDAO , ReFi DAO, CoinDesk, Molecule, Cherubs DAO, VitaDAO","Carbon Captors , Cherubs DAO, Future Foundation, Public Land Protocol, Solid World DAO"
11,1261307955464593410,Ants-review,antsreview,http://pbs.twimg.com/profile_images/1266760531412692992/amsBtaCr_normal.jpg,"The Commons Stack, TEC, Molecule, VitaDAO, Atoms, Seed Club, Opscientia.eth, DoinGud, Kernel, Decrypt, Parcel.money, Meta Gamma Delta DAO , she256, ResearchHub DAO, RabbitHole, GitcoinDAO, Planetary Resilience DAO, 1729, Coinbase Earn, Cosmos, TryCrypto","Molecule, Opscientia.eth, Planetary Resilience DAO, PR1S0N Art"
12,1384244604124340229,Aquari,aquariofficial,http://pbs.twimg.com/profile_images/1390675212581097473/Zjzkwdqm_normal.jpg,,"ClimateDAO , LOA Labs, Solid World DAO"
13,3184528398,Artizen,artizenfund,http://pbs.twimg.com/profile_images/1354930931719491585/3e-XZrvq_normal.jpg,"Decrypt, Crypto Culture and Society, ClimateDAO , RabbitHole, Protein Community, she256, web3baddies, Regen Network, Ecodao, KlimaDAO, The Commons Stack, Cabin, Kleros, Proof of Humanity, 1729, GitcoinDAO, Seed Club","ClimateDAO , Protein Community"
14,1301143980357419008,Astral Protocol,astralprotocol,http://pbs.twimg.com/profile_images/1301144670177820672/qX3mlQtp_normal.jpg,"dClimate, Project Ark, Toucan, GitcoinDAO, Geo Web, KlimaDAO, Curve Labs, Kernel, Open Forest Protocol, PR1S0N Art","Carbon Captors , Curve Labs, dClimate, Ecorise, Geo Web, Kolektivo, Planetary Resilience DAO, PR1S0N Art, PrimeDAO, Protein Community, Public Land Protocol, Solid World DAO, Sovereign Nature, Toucan"
15,1407791007857475584,Atoms,atoms_org,http://pbs.twimg.com/profile_images/1408969527333847042/4-ZuTQNE_normal.jpg,,"Ants-review, Foresight Institute DAO, Molecule, Opscientia.eth, VitaDAO"
16,1458474141196107783,Avano,avano_io,http://pbs.twimg.com/profile_images/1494445096053325842/zxT6DGVz_normal.jpg,"Seed Club, Return Protocol, Sovereign Nature, NFTree Haus, ReFi DAO, AcreDAOS, All for Climate, Two Plus, ClimateDAO , The Eden Dao, Solid World DAO, Toucan, Diatom DAO, MOONJELLY, Public Land Protocol, Open Forest Protocol, Single Earth, Nori, Shamba, Regen Network, Bloomeria, dClimate, Gain Forest","AntidoteDAO, Carbon Captors , EarthFund, Geo Web, LOA Labs, MOONJELLY, NFTree Haus, Open Forest Protocol, Public Land Protocol, ReFi DAO, Return Protocol, Shamba, Solid World DAO"
17,3197090716,AYOWECCA,ayowecca_uganda,http://pbs.twimg.com/profile_images/1256915740197863425/YXN0dsRN_normal.jpg,Panvala,"AcreDAOS, All for Climate"
18,1425965171932028932,Bankless Academy,banklessacademy,http://pbs.twimg.com/profile_images/1486740212663341063/SYFi98Ti_normal.jpg,Gitcoin,
19,765801233110163456,Basin DAO,basindao,http://pbs.twimg.com/profile_images/1463399377402314760/DNY9cgtS_normal.jpg,"LOA Labs, ReFi DAO, Shamba, Gaia, ixo, Ecorise, Celo, All for Climate, AcreDAOS, KlimaDAO, Regen Network, Toucan, Public Land Protocol, Ecodao, The Eden Dao, dClimate, ClimateDAO , Longtail Financial","AntidoteDAO, Carbon Captors , Citizen DAO, Climate Finance DAO, ClimateDAO , dClimate, EarthFund, Ecorise, ixo, LOA Labs, Longtail Financial, Mercy Corps Ventures FinX, MOONJELLY, Project Ark, Public Land Protocol, ReFi DAO, Regen Network, Return Protocol, Shamba, Solid World DAO, Sovereign Nature, Treejer Protocol"
20,985686071244541952,Binance Academy,binanceacademy,http://pbs.twimg.com/profile_images/1455771077838180360/EDEc3-fT_normal.jpg,"CoinDesk, Coinmarketcap Earn","Coinmarketcap Earn, Leyline, ShapeShift DAO"
21,1476703422460039192,BioDAO,biodaoxyz,http://pbs.twimg.com/profile_images/1485042580177907714/n0Inv55w_normal.jpg,Opscientia.eth,"Cherubs DAO, Foresight Institute DAO, Opscientia.eth"
22,917429284939079680,Blockchain for Climate foundation,blockforclimate,http://pbs.twimg.com/profile_images/1455859963889213445/x8wXr7Oh_normal.jpg,"Toucan, DoinGud, Sovereign Nature, KlimaDAO, Open Earth Foundation, Giving Block, Regen Network, Giveth, she256, ixo, Nori, Planetary Resilience DAO, CoinTelegraph, Outlier Ventures, Coinmarketcap Earn, CoinDesk, Cosmos, ShapeShift DAO, Gain Forest, Coinbase Earn","AcreDAOS, All for Climate, Carbon Captors , Climate Finance DAO, ClimateDAO , Earthbanc, EarthFund, Giving Block, ixo, LOA Labs, MOONJELLY, Nori, Open Earth Foundation, Planetary Resilience DAO, Project Ark, Public Land Protocol, ReFi DAO, Regen Network, Return Protocol, ShapeShift DAO, Solid World DAO, Sovereign Nature, Treejer Protocol"
23,1465761898733969413,Blood M1n3,bloodm1n3,http://pbs.twimg.com/profile_images/1491776089915637764/-30DXuWW_normal.jpg,"Climate Finance DAO, Bloomeria, Kernel, Return Protocol, The DAOist, KlimaDAO, ReFi DAO, Giveth, Gitcoin, GitcoinDAO, dClimate, Open Forest Protocol, Public Land Protocol, Future Foundation, Toucan, ClimateDAO , Seed Club, Regen Network, LOA Labs","Public Land Protocol, Solid World DAO"
24,1355074667674009600,Bloomeria,bloomeria_dao,http://pbs.twimg.com/profile_images/1355088367013212161/aLWrVK0j_normal.jpg,"Dream DAO, Return Protocol, MOONJELLY, ReFi DAO, Treejer Protocol, LOA Labs, The Eden Dao, Climate Finance DAO, Open Forest Protocol, Toucan, All for Climate, KlimaDAO, Public Land Protocol, Giving Block, Panvala, Meta Gamma Delta DAO , GitcoinDAO, Kernel, Giveth, The Commons Stack, Regen Network, Kleros","Avano, Blood M1n3, EarthFund, Giveth, MOONJELLY, Public Land Protocol, Regen Network, Solid World DAO"
25,1442526544711225350,Boysclub Crypto,boysclubcrypto,http://pbs.twimg.com/profile_images/1442529841635594242/fugSbrnI_normal.jpg,"Meta Gamma Delta DAO , Grow Your Own Cloud, WellnessDAO, We3, Dropout DAO, Crypto Culture and Society, Celo, Seed Club, TryCrypto, ForeFront, Protein Community, Surge, Layer3, RabbitHole, web3baddies, she256","Celo, ClimateDAO , DeveloperDAO, Dropout DAO, Meta Gamma Delta DAO , Pozzle Planet, Protein Community, TryCrypto, Two Plus, web3baddies, WellnessDAO"
26,1392865673940983809,Brokoli,brokolinetwork,http://pbs.twimg.com/profile_images/1430617946167066626/PR2b57fF_normal.jpg,Coinmarketcap Earn,"LOA Labs, Project Ark"
27,1422255111422754816,Buildspace,_buildspace,http://pbs.twimg.com/profile_images/1422256068554641413/iR0aoxSO_normal.jpg,,"Citizen DAO, Climate Finance DAO, ClimateDAO , DeveloperDAO, Longtail Financial, Nader Dabit, Pozzle Planet, Protein Community, TryCrypto, Web3 University"
28,1328939221785174017,Cabin,creatorcabins,http://pbs.twimg.com/profile_images/1458804832551247877/z8CMVDb8_normal.jpg,"Seed Club, Station, Layer3, VitaDAO, Protein Community, ForeFront, Kernel","Artizen, Citizen DAO, Cohere, Planetary Resilience DAO, Protein Community, ReFi DAO, Seed Club, The DAOist, WellnessDAO"
29,1496813200632913922,Carbon Captors ,carboncaptors,http://pbs.twimg.com/profile_images/1496818455219216390/UwZ0CVsQ_normal.jpg,"Seed Club, AntidoteDAO, Gaia, dClimate, Astral Protocol, Kernel, Regen Network, Kumo Earth, EarthFund, Avano, Solid World DAO, Treejer Protocol, Public Land Protocol, Future Foundation, AcreDAOS, Return Protocol, Open Forest Protocol, GitcoinDAO, Nori, KlimaDAO, ClimateDAO , The Eden Dao, DeveloperDAO, Gitcoin, Basin DAO, All for Climate, Ecorise, Toucan, Climate Finance DAO, ReFi DAO, Blockchain for Climate foundation, Dream DAO","AntidoteDAO, Public Land Protocol, Solid World DAO"
30,1447429397821079552,Carbon Collectible NFTs,carbonoffsetnft,http://pbs.twimg.com/profile_images/1479066383774330880/joQ0HcsW_normal.jpg,,"Impact, Solid World DAO"
31,1009135067153616896,Celo,celoorg,http://pbs.twimg.com/profile_images/1493309659599486986/5ETdHxeE_normal.jpg,"Regen Network, RabbitHole, Kolektivo, Alliance DAO, The DAOist, Radicle, Boysclub Crypto, Dacade, impactMarket, she256, CoinTelegraph, Giving Block, GitcoinDAO, CoinDesk, UNICEF CryptoFund, Coinbase Earn, Cosmos","Alliance DAO, Basin DAO, Boysclub Crypto, ClimateDAO , Dacade, DeveloperDAO, Earthbanc, EarthFund, Ecorise, Endaoment, GitcoinDAO, Giving Block, impactMarket, ixo, Kolektivo, LOA Labs, Longtail Financial, Mercy Corps Ventures FinX, Nader Dabit, PrimeDAO, Protein Community, Public Land Protocol, Regen Network, Return Protocol, Ribon, Shamba, ShapeShift DAO, Socialstack, Solid World DAO, The DAOist, Toucan"
32,1421233268372824065,Cheerbot,cheerbotme,http://pbs.twimg.com/profile_images/1494446029843968001/SveAdFhD_normal.jpg,"Web3 Music Metadata Standards Coalition, Tip Party, Gitcoin",
33,1448253975980126209,Cherubs DAO,cherubsdao,http://pbs.twimg.com/profile_images/1461111085067603971/A1LX50MT_normal.jpg,"Citizen DAO, Dream DAO, Opscientia.eth, Tip Party, ReFi DAO, Gitcoin, Impact, TEC, Surge, The DAOist, Giveth, Vibe Bio, LabDAO, VitaDAO, Future Foundation, All for Climate, Earthcoin, PsyDAO, Nader Dabit, GitcoinDAO, BioDAO, CoinTelegraph, DoinGud, Coinmarketcap Earn, Giving Block, Molecule, CoinDesk, AntidoteDAO, Coinbase Earn","AntidoteDAO, Future Foundation, Giveth, Solid World DAO"
34,1470127827781570560,Circonomy,circonomydao,http://pbs.twimg.com/profile_images/1500542961410580496/DicM6XPM_normal.png,,
35,1391929522304471040,Citizen DAO,citizendao,http://pbs.twimg.com/profile_images/1466272943688888321/e8j2P6L4_normal.jpg,"LOA Labs, impactMarket, Popcorn, Climate Finance DAO, Angel Protocol, ReFi DAO, MOONJELLY, NFTree Haus, Layer3, Sovereign Nature, Open Forest Protocol, ClimateDAO , Public Land Protocol, Earthcoin, VitaDAO, LabDAO, Tip Party, 1Hive Gardens, Nader Dabit, KlimaDAO, Vibe Bio, Impact, Buildspace, The DAOist, 1Hive, GitcoinDAO, Gitcoin, Station, she256, DeveloperDAO, Basin DAO, All for Climate, Two Plus, CoinTelegraph, Code4rena, PrimeDAO, Diatom DAO, Giveth, Coinmarketcap Earn, ForeFront, The Commons Stack, Regen Network, Endaoment, Seed Club, Giving Block, Toucan, OCEAN Protocol, AcreDAOS, Cabin, Molecule, TEC, Kolektivo, web3baddies, Surge, Future Foundation, The Eden Dao, Ecodao, Grassroots Economics, PactDAO, Dream DAO, Crypto Culture and Society, RabbitHole, Radicle","All for Climate, AntidoteDAO, Cherubs DAO, DeveloperDAO, EarthFund, Ecodao, Future Foundation, Impact, LOA Labs, MOONJELLY, NFTree Haus, Protein Community, Public Land Protocol, Solid World DAO, Sovereign Nature, Surge"
36,1464751953750208512,Climate Finance DAO,climatefindao,http://pbs.twimg.com/profile_images/1464765590652997636/z7b63Skp_normal.jpg,"Basin DAO, PrimeDAO, Odyssey, Popcorn, Sovereign Nature, Treejer Protocol, Proof of Humanity, Ecodao, Buildspace, DeveloperDAO, Tip Party, RabbitHole, Gitcoin, Open Earth Foundation, All for Climate, ClimateDAO , The Eden Dao, Diatom DAO, Nader Dabit, Nori, GitcoinDAO, Regen Network, Toucan, Blockchain for Climate foundation","Blood M1n3, Bloomeria, Carbon Captors , Citizen DAO, EarthFund, MOONJELLY, Public Land Protocol, ReFi DAO, Solid World DAO, Treejer Protocol"
37,1425536434056749058,ClimateDAO ,climate_dao,http://pbs.twimg.com/profile_images/1499761953882923009/ZfgXLTBO_normal.png,"Station, VitaDAO, Alliance DAO, SuperBenefit, Future Foundation, Return Protocol, Buildspace, PizzaDAO, DOER Money DAO, Kernel, Diatom DAO, Solid World DAO, Public Land Protocol, Boysclub Crypto, ReFi DAO, Artizen, Open Forest Protocol, EarthFund, Gaia, The Eden Dao, KlimaDAO, DeveloperDAO, Aquari, Basin DAO, Celo, Seed Club, Regen Network, dClimate, Toucan, Project Ark, AcreDAOS, TEC, Protein Community, web3baddies, Layer3, Ecodao, Blockchain for Climate foundation, PactDAO, Dream DAO, Crypto Culture and Society, RabbitHole, PrimeDAO","All for Climate, AntidoteDAO, Artizen, Avano, Basin DAO, Blood M1n3, Carbon Captors , Citizen DAO, Climate Finance DAO, EarthFund, Future Foundation, LOA Labs, Longtail Financial, MOONJELLY, Open Forest Protocol, PactDAO, Pozzle Planet, PR1S0N Art, Protein Community, Public Land Protocol, ReFi DAO, Regen Network, Return Protocol, Shamba, Solid World DAO, Sovereign Nature, The Eden Dao"
38,1496363069525880835,Clime DAO,climedao,http://pbs.twimg.com/profile_images/1496363317321146370/0qSKSOnc_normal.jpg,Nader Dabit,Return Protocol
39,1358831196747235328,Code4rena,code4rena,http://pbs.twimg.com/profile_images/1461661937746407424/9RXtCZ5v_normal.png,Parcel.money,Citizen DAO
40,1358092687963021314,Cohere,coherenetwork,http://pbs.twimg.com/profile_images/1358113018681446400/IPcrmbdD_normal.jpg,"Regen Network, Ecodao, The Eden Dao, Sovereign Nature, Protein Community, Future Foundation, PrimeDAO, RabbitHole, ReFi DAO, The DAOist, Two Plus, Cabin, Public Land Protocol, AcreDAOS, Kolektivo","Public Land Protocol, ReFi DAO, Solid World DAO"
41,574032254,Coinbase Earn,coinbase,http://pbs.twimg.com/profile_images/1484586799921909764/A9yYenz3_normal.png,Give Crypto,"Alliance DAO, Ants-review, Blockchain for Climate foundation, Celo, Cherubs DAO, CoinDesk, Coinmarketcap Earn, CoinTelegraph, Cosmos, Decent DAO, Decrypt, DeveloperDAO, Endaoment, GitcoinDAO, Giveth, Giving Block, ixo, Molecule, Planetary Resilience DAO, Project Galaxy, Protein Community, Public Land Protocol, ShapeShift DAO, Storc, Therapoid"
42,1333467482,CoinDesk,coindesk,http://pbs.twimg.com/profile_images/1430879040156667904/NlbJjd-l_normal.png,"Giving Block, GitcoinDAO, ShapeShift DAO, Coinmarketcap Earn, Coinbase Earn, Cosmos","AntidoteDAO, Binance Academy, Blockchain for Climate foundation, Celo, Cherubs DAO, Coinmarketcap Earn, Cool Points Club, dClimate, Decent DAO, Giving Block, HumanDAO, ixo, Kleros, Mercy Corps Ventures FinX, Molecule, Nori, Open Earth Foundation, Project Galaxy, Protein Community, ShapeShift DAO, Storc, Surge, Therapoid, UNICEF CryptoFund, VitaDAO, web3baddies"
43,2260491445,Coinmarketcap Earn,coinmarketcap,http://pbs.twimg.com/profile_images/1475337078544248835/JRWM0Hsl_normal.jpg,"Decrypt, Binance Academy, CoinTelegraph, ShapeShift DAO, CoinDesk, Coinbase Earn","AntidoteDAO, Binance Academy, Blockchain for Climate foundation, Brokoli, Cherubs DAO, Citizen DAO, CoinDesk, CoinTelegraph, Decent DAO, Decrypt, Giving Block, HumanDAO, Planetary Resilience DAO, Project Galaxy, Protein Community, ShapeShift DAO, Storc"
44,2207129125,CoinTelegraph,cointelegraph,http://pbs.twimg.com/profile_images/1270073276740534274/APmUBHaI_normal.jpg,"Giving Block, Whiteboard Crypto, Nader Dabit, ShapeShift DAO, Coinmarketcap Earn, Coinbase Earn, Cosmos","AntidoteDAO, Blockchain for Climate foundation, Celo, Cherubs DAO, Citizen DAO, Coinmarketcap Earn, Cool Points Club, Decent DAO, Endaoment, Give Safely, Giveth, Giving Block, impactMarket, Kleros, Nader Dabit, Nori, Outlier Ventures, Project Galaxy, Protein Community, ShapeShift DAO, Socialstack, Storc, VitaDAO, Whiteboard Crypto"
45,2473091772,Converge,converge4impact,http://pbs.twimg.com/profile_images/1438991514206556164/Okjj6J9L_normal.jpg,,Protein Community
